created_at,created_at_stamp,favorite_count,is_retweet,name,retweet_count,screen_name,text,tweet_id,tweet_url,utc_offset
Wed May 31 18:55:26 +0000 2017,2017-05-31 18:55:26,487,0,BBC News (UK),356,BBCNews,Lib Dem leader Tim Farron asks where Theresa May is #BBCDebate https://t.co/h9Ad0b8ofC https://t.co/Wzz6ZKiL7L,869990722413395968,https://twitter.com/BBCNews/status/869990722413395968,3600
Wed May 31 18:55:18 +0000 2017,2017-05-31 18:55:18,25,0,Los Angeles Times,8,latimes,Coachella announces 2018 festival and ticket sale dates https://t.co/DRrvn7y4d6 https://t.co/x2UT2UciwK,869990687693000704,https://twitter.com/latimes/status/869990687693000704,-25200
Wed May 31 18:55:06 +0000 2017,2017-05-31 18:55:06,6,0,Los Angeles Times,5,latimes,"Bill O'Reilly's next book, ""Killing England,"" will be his take on the American Revolution https://t.co/TLIznIjw4A https://t.co/s2yXUDLzPI",869990636660772864,https://twitter.com/latimes/status/869990636660772864,-25200
Wed May 31 18:55:00 +0000 2017,2017-05-31 18:55:00,12,0,The Independent,6,Independent,Poldark series 3 release date revealed by BBC https://t.co/GftwbmwzRU,869990614640640000,https://twitter.com/Independent/status/869990614640640000,3600
Wed May 31 18:54:40 +0000 2017,2017-05-31 18:54:40,0,1,Sky News,6,SkyNews,RT @SkyNewsTonight: The victims of rogue surgeon Ian Patterson applauded as he was sentenced to 15 years #SNT https://t.co/wthqYpt1WV,869990529378820096,https://twitter.com/SkyNews/status/869990529378820096,3600
Wed May 31 18:54:29 +0000 2017,2017-05-31 18:54:29,0,1,Sky News,2,SkyNews,RT @SkyNewsBiz: Watch the full interview with @SKellyCEO and @TiceRichard and hear what they think about Brexit and business: https://t.co/…,869990481832296448,https://twitter.com/SkyNews/status/869990481832296448,3600
Wed May 31 18:54:26 +0000 2017,2017-05-31 18:54:26,0,1,The Times of London,9,thetimes,"RT @patrick_kidd: ""Work doesn't pay, Amber,"" says the leader of a party that wants an obligatory four-day week",869990470851723264,https://twitter.com/thetimes/status/869990470851723264,3600
Wed May 31 18:54:10 +0000 2017,2017-05-31 18:54:10,0,1,Sky News,18,SkyNews,RT @SkyNewsTonight: A bomb hidden in a sewage tanker has killed at least 90 people in Kabul #SNT https://t.co/2HFoJ2ayyH,869990401649725442,https://twitter.com/SkyNews/status/869990401649725442,3600
Wed May 31 18:53:58 +0000 2017,2017-05-31 18:53:58,0,1,Sky News,6,SkyNews,"RT @SkyNewsTonight: Is Theresa May ""eating cheese amongst workers in factories"" the PM preparing for Brexit negotiations? #SNT https://t.co…",869990352282898432,https://twitter.com/SkyNews/status/869990352282898432,3600
Wed May 31 18:53:25 +0000 2017,2017-05-31 18:53:25,0,1,The Times of London,8,thetimes,"RT @scribblercat: Tim Farron at debate: ""Where do you think Theresa May is tonight? She might be outside, sizing up your house to pay for y…",869990216311767040,https://twitter.com/thetimes/status/869990216311767040,3600
Wed May 31 18:53:13 +0000 2017,2017-05-31 18:53:13,7,0,The Guardian,6,guardian,Sir John Mitting to take over undercover police inquiry https://t.co/GDKg2vWmRI,869990166030667779,https://twitter.com/guardian/status/869990166030667779,3600
Wed May 31 18:53:07 +0000 2017,2017-05-31 18:53:07,13,0,USA TODAY,9,USATODAY,Bryce Harper's four-game suspension reduced by one game https://t.co/MAKCJgIWdJ https://t.co/eQPaYtTmtX,869990138163548162,https://twitter.com/USATODAY/status/869990138163548162,-14400
Wed May 31 18:52:02 +0000 2017,2017-05-31 18:52:02,6,0,The Sun,3,TheSun,Marnie Simpson strips off and bares her boobs in Geordie Shore after confessing she had sex with Chloe Ferry… https://t.co/y6uqZsQAql,869989866360188929,https://twitter.com/TheSun/status/869989866360188929,3600
Wed May 31 18:51:40 +0000 2017,2017-05-31 18:51:40,0,1,The Times of London,15,thetimes,"RT @DAaronovitch: A revolt yet to come: the real ""left behinds"" are the under-30s. Me for @thetimes online now - https://t.co/d0hXbvWxxW (£)",869989775331033089,https://twitter.com/thetimes/status/869989775331033089,3600
Wed May 31 18:51:04 +0000 2017,2017-05-31 18:51:04,38,0,Bloomberg,17,business,Kayaking with killer whales is the thrill of a lifetime https://t.co/PvbFFDpc1O https://t.co/MmiYKTROCB,869989622612414464,https://twitter.com/business/status/869989622612414464,-14400
Wed May 31 18:50:54 +0000 2017,2017-05-31 18:50:54,110,0,BBC News (UK),63,BBCNews,Caroline Lucas sets out her stall for the Greens at #BBCDebate https://t.co/h9Ad0bpZ7a https://t.co/JStBjX2BKV,869989583085109248,https://twitter.com/BBCNews/status/869989583085109248,3600
Wed May 31 18:50:51 +0000 2017,2017-05-31 18:50:51,0,1,The Independent,3,Independent,RT @IndySport: #RG17 round-up: France's number one is sent packing and Caroline Wozniacki wins 6-0 6-0 https://t.co/uW8Od2phu1,869989566794670081,https://twitter.com/Independent/status/869989566794670081,3600
Wed May 31 18:50:15 +0000 2017,2017-05-31 18:50:15,9,0,The Guardian,18,guardian,Malaysia Airlines plane forced to turn back after man tries to enter cockpit https://t.co/JHUa4O6AWY,869989417133514753,https://twitter.com/guardian/status/869989417133514753,3600
Wed May 31 18:50:07 +0000 2017,2017-05-31 18:50:07,21,0,Wall Street Journal,10,WSJ,Why Molina Healthcare no longer has a Molina in the executive suite https://t.co/xqwnx3L8vu,869989385709563904,https://twitter.com/WSJ/status/869989385709563904,-14400
Wed May 31 18:50:01 +0000 2017,2017-05-31 18:50:01,10,0,CNET,11,CNET,"#NetNeutrality may have lost #Netflix as an ally: ""We're big enough to get the deals we want.""… https://t.co/xKNoOb34qz",869989358446804992,https://twitter.com/CNET/status/869989358446804992,-25200
